,product_category_name_english,customer_state,avg_freight_cost,total_late_deliveries,combined_label
116,musical_instruments,SP,19.83,16.0,SP - musical_instruments
117,computers_accessories,CE,28.84,15.0,CE - computers_accessories
118,sports_leisure,PA,36.22,15.0,PA - sports_leisure
119,housewares,ES,25.95,15.0,ES - housewares
120,health_beauty,PA,38.04,15.0,PA - health_beauty
121,musical_instruments,RJ,27.02,15.0,RJ - musical_instruments
122,computers_accessories,ES,21.34,15.0,ES - computers_accessories
123,garden_tools,SC,22.86,15.0,SC - garden_tools
124,telephony,CE,23.12,15.0,CE - telephony
125,pet_shop,MG,21.44,15.0,MG - pet_shop
126,home_confort,SP,16.12,15.0,SP - home_confort
127,luggage_accessories,RJ,29.68,14.0,RJ - luggage_accessories
128,watches_gifts,MA,33.16,14.0,MA - watches_gifts
129,auto,PR,24.62,14.0,PR - auto
130,books_general_interest,SP,12.96,14.0,SP - books_general_interest
131,baby,RS,24.98,14.0,RS - baby
132,books_technical,SP,11.43,14.0,SP - books_technical
133,stationery,BA,21.63,14.0,BA - stationery
134,cool_stuff,SC,21.14,14.0,SC - cool_stuff
135,sports_leisure,CE,32.1,14.0,CE - sports_leisure
136,baby,BA,30.68,14.0,BA - baby
137,stationery,MG,17.43,13.0,MG - stationery
138,sports_leisure,MA,37.8,13.0,MA - sports_leisure
139,housewares,BA,32.36,13.0,BA - housewares
140,garden_tools,CE,33.21,13.0,CE - garden_tools
141,small_appliances,SP,17.84,13.0,SP - small_appliances
142,fashion_bags_accessories,MG,15.2,13.0,MG - fashion_bags_accessories
143,furniture_decor,MA,36.65,13.0,MA - furniture_decor
144,furniture_living_room,RJ,36.4,13.0,RJ - furniture_living_room
145,housewares,MA,37.4,13.0,MA - housewares
146,stationery,RS,19.24,13.0,RS - stationery
147,furniture_decor,GO,23.3,13.0,GO - furniture_decor
148,electronics,RS,16.83,13.0,RS - electronics
149,perfumery,SC,16.94,13.0,SC - perfumery
150,auto,RS,23.89,13.0,RS - auto
151,cool_stuff,BA,27.08,13.0,BA - cool_stuff
152,garden_tools,ES,26.93,13.0,ES - garden_tools
153,telephony,MA,27.28,12.0,MA - telephony
154,auto,SC,25.11,12.0,SC - auto
155,watches_gifts,PR,17.03,12.0,PR - watches_gifts
156,toys,PR,19.31,12.0,PR - toys
157,audio,RJ,16.75,12.0,RJ - audio
158,construction_tools_lights,SP,17.52,12.0,SP - construction_tools_lights
159,sports_leisure,PE,33.83,12.0,PE - sports_leisure
160,housewares,PR,22.18,12.0,PR - housewares
161,drinks,SP,11.52,12.0,SP - drinks
162,art,SP,15.58,12.0,SP - art
163,electronics,SC,17.53,11.0,SC - electronics
164,computers_accessories,PE,27.74,11.0,PE - computers_accessories
165,furniture_living_room,SP,27.66,11.0,SP - furniture_living_room
166,home_confort,RJ,20.85,11.0,RJ - home_confort
167,cool_stuff,ES,23.9,11.0,ES - cool_stuff
168,computers_accessories,MA,33.86,11.0,MA - computers_accessories
169,,SC,17.58,11.0,
170,telephony,PE,24.27,11.0,PE - telephony
171,watches_gifts,SC,16.15,11.0,SC - watches_gifts
172,,GO,19.28,10.0,
173,telephony,PA,26.35,10.0,PA - telephony
174,health_beauty,MS,23.55,10.0,MS - health_beauty
175,computers_accessories,GO,23.55,10.0,GO - computers_accessories
176,baby,DF,23.03,10.0,DF - baby
177,garden_tools,PR,23.86,10.0,PR - garden_tools
178,,MG,17.79,10.0,
179,electronics,ES,20.78,10.0,ES - electronics
180,health_beauty,PI,38.68,10.0,PI - health_beauty
181,home_construction,RJ,21.31,10.0,RJ - home_construction
182,auto,CE,42.0,10.0,CE - auto
183,audio,SP,10.88,10.0,SP - audio
184,telephony,PR,15.96,10.0,PR - telephony
185,watches_gifts,PA,30.1,10.0,PA - watches_gifts
186,office_furniture,BA,49.6,10.0,BA - office_furniture
187,fashion_bags_accessories,SC,18.44,10.0,SC - fashion_bags_accessories
188,auto,PA,39.54,9.0,PA - auto
189,furniture_decor,AL,44.03,9.0,AL - furniture_decor
190,sports_leisure,DF,20.41,9.0,DF - sports_leisure
191,,RS,21.72,9.0,
192,telephony,GO,16.56,9.0,GO - telephony
193,food_drink,RJ,18.67,9.0,RJ - food_drink
194,telephony,RS,17.08,9.0,RS - telephony
195,perfumery,PR,15.98,9.0,PR - perfumery
196,auto,ES,22.47,9.0,ES - auto
197,health_beauty,PB,40.6,9.0,PB - health_beauty
198,garden_tools,GO,24.5,9.0,GO - garden_tools
199,perfumery,CE,25.39,8.0,CE - perfumery
