,product_category_name_english,total_revenue,customer_city
145,computers_accessories,8469.189999999997,sao luis
146,cool_stuff,8445.369999999999,curitiba
147,home_construction,8423.580000000002,sao paulo
148,watches_gifts,8349.970000000001,maceio
149,pet_shop,8309.489999999998,belo horizonte
150,audio,8276.609999999997,sao paulo
151,auto,8267.229999999998,curitiba
152,watches_gifts,8167.640000000001,nova iguacu
153,housewares,8101.16,florianopolis
154,furniture_living_room,8075.119999999999,sao paulo
155,furniture_decor,8061.059999999998,santos
156,fashion_bags_accessories,8004.23,rio de janeiro
157,housewares,7957.039999999998,campinas
158,sports_leisure,7950.009999999999,niteroi
159,furniture_decor,7942.339999999999,guarulhos
160,bed_bath_table,7933.879999999993,goiania
161,watches_gifts,7928.769999999999,sao goncalo
162,luggage_accessories,7834.769999999997,rio de janeiro
163,sports_leisure,7798.9299999999985,guarulhos
164,telephony,7646.7199999999975,porto alegre
165,baby,7625.539999999999,porto alegre
166,health_beauty,7622.84,juiz de fora
167,bed_bath_table,7598.639999999996,osasco
168,bed_bath_table,7596.569999999997,niteroi
169,books_general_interest,7566.969999999998,sao paulo
170,watches_gifts,7563.769999999999,santo andre
171,housewares,7547.999999999996,goiania
172,cool_stuff,7535.07,juiz de fora
173,sports_leisure,7518.629999999998,sao jose dos campos
174,bed_bath_table,7507.979999999996,sao bernardo do campo
175,cool_stuff,7459.089999999998,campinas
176,sports_leisure,7426.289999999997,sorocaba
177,health_beauty,7425.539999999995,santos
178,small_appliances,7407.9,araruama
179,fixed_telephony,7385.789999999999,vila velha
180,health_beauty,7376.869999999998,santo andre
181,computers_accessories,7364.959999999997,florianopolis
182,baby,7354.180000000002,curitiba
183,health_beauty,7318.719999999999,joao pessoa
184,auto,7307.35,sao jose dos campos
185,sports_leisure,7286.829999999997,sao bernardo do campo
186,fixed_telephony,7263.359999999999,sao paulo
187,watches_gifts,7195.599999999997,florianopolis
188,watches_gifts,7194.8099999999995,belem
189,bed_bath_table,7183.579999999998,ribeirao preto
190,,7156.699999999999,belem
191,home_appliances,7156.189999999999,rio de janeiro
192,construction_tools_safety,7122.51,sao paulo
193,telephony,7095.979999999994,belo horizonte
194,health_beauty,7083.51,sao luis
195,watches_gifts,7059.469999999999,joao pessoa
196,furniture_decor,7041.579999999999,osasco
197,health_beauty,6985.219999999999,florianopolis
198,furniture_decor,6957.789999999999,sao bernardo do campo
199,musical_instruments,6944.99,belo horizonte
200,sports_leisure,6942.089999999998,osasco
201,auto,6885.669999999999,teresina
202,telephony,6856.599999999997,salvador
203,watches_gifts,6852.209999999999,jundiai
204,watches_gifts,6787.389999999999,sao jose do rio preto
205,housewares,6781.83,salvador
206,air_conditioning,6781.69,sao paulo
207,watches_gifts,6770.65,juiz de fora
208,computers,6729.0,vitoria
209,housewares,6728.030000000001,sao bernardo do campo
210,health_beauty,6718.129999999998,sorocaba
211,sports_leisure,6706.030000000001,recife
212,health_beauty,6701.439999999999,sao jose dos campos
213,computers,6698.0,salvador
214,health_beauty,6674.82,ribeirao preto
215,watches_gifts,6663.220000000001,londrina
216,toys,6652.290000000001,campinas
217,small_appliances_home_oven_and_coffee,6652.0,curitiba
218,cool_stuff,6533.0599999999995,jundiai
219,health_beauty,6522.44,uberlandia
220,art,6499.0,marilia
221,computers_accessories,6441.189999999999,sorocaba
222,watches_gifts,6440.71,osasco
223,sports_leisure,6384.490000000001,uberlandia
224,furniture_bedroom,6309.18,sao paulo
225,bed_bath_table,6301.009999999998,sorocaba
226,furniture_decor,6266.16,niteroi
227,telephony,6243.509999999995,brasilia
228,toys,6227.569999999996,porto alegre
229,computers_accessories,6182.31,recife
230,food,6142.41,sao paulo
231,stationery,6136.6500000000015,belo horizonte
232,computers_accessories,6103.830000000001,santo andre
233,computers_accessories,6086.6,campo grande
234,sports_leisure,6077.880000000001,bauru
235,office_furniture,5995.759999999999,belo horizonte
236,computers_accessories,5977.35,sao jose dos campos
237,computers_accessories,5953.560000000001,belem
238,agro_industry_and_commerce,5934.6,divinopolis
239,sports_leisure,5892.759999999999,santo andre
240,furniture_decor,5880.320000000001,nova iguacu
241,bed_bath_table,5877.569999999998,barueri
242,baby,5872.2699999999995,jundiai
243,sports_leisure,5804.81,belem
244,perfumery,5796.9299999999985,porto alegre
245,auto,5737.08,fortaleza
246,health_beauty,5711.849999999999,maceio
247,industry_commerce_and_business,5704.76,sao paulo
248,computers_accessories,5660.769999999999,fortaleza
249,watches_gifts,5620.95,natal
250,auto,5619.980000000001,osasco
251,furniture_decor,5618.47,sorocaba
252,sports_leisure,5595.06,florianopolis
253,garden_tools,5554.500000000001,salvador
254,computers_accessories,5547.02,sao bernardo do campo
255,sports_leisure,5537.44,fortaleza
256,computers_accessories,5494.77,joao pessoa
257,baby,5489.470000000001,belem
258,garden_tools,5480.2699999999995,nova iguacu
259,housewares,5464.389999999999,niteroi
260,furniture_decor,5446.940000000002,santo andre
261,consoles_games,5439.009999999998,belo horizonte
262,health_beauty,5437.889999999999,jundiai
263,,5435.599999999998,belo horizonte
264,perfumery,5417.860000000001,niteroi
265,watches_gifts,5417.75,mogi das cruzes
266,furniture_decor,5387.1500000000015,jundiai
267,cool_stuff,5376.08,salvador
268,sports_leisure,5375.17,campo grande
269,health_beauty,5373.589999999999,uberaba
270,health_beauty,5352.03,aracaju
271,bed_bath_table,5345.250000000001,praia grande
272,baby,5332.510000000002,campinas
273,garden_tools,5316.43,sao goncalo
274,computers_accessories,5312.16,ribeirao preto
275,sports_leisure,5292.9400000000005,santos
276,watches_gifts,5274.330000000001,duque de caxias
277,bed_bath_table,5269.320000000001,nova iguacu
278,audio,5265.570000000001,rio de janeiro
279,toys,5263.0,salvador
280,sports_leisure,5262.8200000000015,goiania
281,furniture_decor,5213.839999999997,belem
282,cool_stuff,5167.34,florianopolis
283,watches_gifts,5108.430000000001,vila velha
284,agro_industry_and_commerce,5103.959999999999,rio de janeiro
285,bed_bath_table,5085.880000000001,vitoria
286,auto,5083.839999999998,goiania
287,baby,5082.38,salvador
288,pet_shop,5037.71,brasilia
289,home_appliances_2,5030.8,curitiba
290,watches_gifts,5022.04,maringa
291,auto,5008.98,sao bernardo do campo
292,perfumery,5002.75,campinas
293,watches_gifts,4971.799999999999,sao jose dos campos
294,health_beauty,4970.739999999998,jaboatao dos guararapes
295,computers_accessories,4965.509999999999,santos
296,furniture_decor,4952.919999999999,recife
297,cool_stuff,4939.010000000001,fortaleza
298,health_beauty,4933.130000000001,indaiatuba
299,sports_leisure,4928.989999999999,nova lima
300,health_beauty,4918.099999999999,joinville
301,toys,4911.910000000002,sao bernardo do campo
302,health_beauty,4893.19,santa maria
303,cool_stuff,4892.78,londrina
304,kitchen_dining_laundry_garden_furniture,4891.95,rio de janeiro
305,computers_accessories,4889.6,jundiai
306,garden_tools,4855.6500000000015,campinas
307,stationery,4853.090000000001,brasilia
308,garden_tools,4841.110000000001,ribeirao preto
309,watches_gifts,4826.63,ribeirao preto
310,health_beauty,4807.71,teresina
311,bed_bath_table,4798.870000000001,florianopolis
312,health_beauty,4792.17,taubate
313,bed_bath_table,4787.680000000001,piracicaba
314,health_beauty,4756.450000000001,campo grande
315,furniture_decor,4746.86,piracicaba
316,bed_bath_table,4739.72,juiz de fora
317,watches_gifts,4726.59,piracicaba
318,small_appliances,4717.0,maua
319,sports_leisure,4710.780000000001,contagem
320,auto,4710.59,contagem
321,construction_tools_construction,4699.5,belo horizonte
322,drinks,4675.079999999999,rio de janeiro
323,sports_leisure,4645.259999999999,mogi das cruzes
324,bed_bath_table,4636.370000000002,sao jose do rio preto
325,sports_leisure,4635.400000000001,sao jose do rio preto
326,housewares,4602.9000000000015,santo andre
327,computers,4599.99,presidente prudente
328,computers,4590.0,joao pessoa
329,construction_tools_lights,4587.650000000001,sao paulo
330,cool_stuff,4569.32,sao jose dos campos
331,cool_stuff,4568.089999999999,mogi das cruzes
332,health_beauty,4555.679999999999,ourinhos
333,cool_stuff,4547.75,nova iguacu
334,watches_gifts,4534.700000000001,vitoria
335,office_furniture,4529.469999999999,campinas
336,health_beauty,4493.650000000001,cuiaba
337,signaling_and_security,4490.7300000000005,sao paulo
338,auto,4479.74,sorocaba
339,furniture_decor,4472.7300000000005,fortaleza
340,watches_gifts,4471.45,caieiras
341,toys,4462.02,guarulhos
342,sports_leisure,4461.66,juiz de fora
343,health_beauty,4457.29,divinopolis
344,consoles_games,4443.389999999999,bom jesus do galho
345,sports_leisure,4436.07,jundiai
346,computers_accessories,4414.0,campos dos goytacazes
347,furniture_decor,4400.52,cascavel
348,small_appliances,4376.67,belo horizonte
349,bed_bath_table,4369.6100000000015,sao goncalo
350,bed_bath_table,4341.54,sao jose dos campos
351,computers_accessories,4321.18,goiania
352,watches_gifts,4315.1,maua
353,watches_gifts,4306.1900000000005,serra
354,furniture_decor,4300.720000000002,sao jose dos campos
355,bed_bath_table,4263.130000000001,uberlandia
356,computers_accessories,4260.640000000001,barueri
357,telephony,4256.689999999999,fortaleza
358,auto,4235.38,florianopolis
359,housewares,4230.46,osasco
360,bed_bath_table,4229.02,mogi das cruzes
361,cool_stuff,4228.3899999999985,niteroi
362,perfumery,4224.02,fortaleza
363,sports_leisure,4221.650000000001,barueri
364,computers_accessories,4218.76,gaspar
365,watches_gifts,4218.6,sao carlos
366,health_beauty,4215.650000000001,vicosa
367,stationery,4190.9,campinas
368,furniture_decor,4190.570000000001,florianopolis
369,health_beauty,4186.429999999999,contagem
370,,4184.070000000001,piracicaba
371,health_beauty,4182.01,praia grande
372,health_beauty,4170.73,vitoria
373,garden_tools,4167.76,duque de caxias
374,garden_tools,4161.400000000001,mogi das cruzes
375,housewares,4160.350000000001,ribeirao preto
376,watches_gifts,4157.52,macae
377,watches_gifts,4149.18,sorocaba
378,computers_accessories,4144.330000000001,piracicaba
379,bed_bath_table,4134.880000000001,indaiatuba
380,watches_gifts,4128.49,feira de santana
381,watches_gifts,4109.039999999999,teresina
382,computers,4099.98,recife
383,garden_tools,4029.69,patos de minas
384,toys,4029.21,sao jose dos campos
385,health_beauty,4022.6800000000003,montes claros
386,drinks,4003.0999999999995,sao paulo
387,sports_leisure,4000.9500000000007,vila velha
388,health_beauty,3994.52,londrina
389,sports_leisure,3972.5100000000007,ribeirao preto
390,watches_gifts,3956.68,marilia
391,perfumery,3947.76,curitiba
392,construction_tools_construction,3942.12,curitiba
393,construction_tools_construction,3925.65,campinas
394,perfumery,3921.4,osasco
395,small_appliances,3907.7799999999997,porto alegre
396,market_place,3904.01,sao paulo
397,sports_leisure,3903.0099999999993,teresina
398,watches_gifts,3898.9,barra mansa
399,housewares,3892.93,sao jose do rio preto
400,electronics,3874.000000000001,belo horizonte
401,watches_gifts,3865.7900000000004,ponta grossa
402,cool_stuff,3865.279999999999,sorocaba
403,health_beauty,3857.4399999999996,maua
404,bed_bath_table,3824.9300000000003,maua
405,garden_tools,3820.7,cuiaba
406,health_beauty,3800.71,barueri
407,garden_tools,3800.07,jundiai
408,office_furniture,3795.080000000001,salvador
409,bed_bath_table,3791.8299999999995,taboao da serra
410,consoles_games,3779.2200000000003,campinas
411,watches_gifts,3779.12,contagem
412,sports_leisure,3778.4,para de minas
413,sports_leisure,3773.3600000000006,sao goncalo
414,baby,3762.12,santo andre
415,telephony,3759.7999999999997,sao bernardo do campo
416,computers_accessories,3755.5399999999995,araraquara
417,baby,3755.12,goiania
418,baby,3747.3000000000006,florianopolis
419,home_appliances_2,3744.9,caxias do sul
420,fashion_bags_accessories,3730.080000000001,brasilia
421,furniture_decor,3727.51,goiania
422,watches_gifts,3708.6000000000004,porto velho
423,health_beauty,3707.8200000000006,nova iguacu
424,sports_leisure,3701.87,marilia
425,garden_tools,3694.750000000001,guarulhos
426,musical_instruments,3684.0500000000006,campinas
427,cool_stuff,3682.38,recife
428,furniture_decor,3678.8999999999996,franca
429,auto,3678.06,campo grande
430,health_beauty,3667.790000000001,natal
431,computers_accessories,3653.3,vila velha
432,watches_gifts,3650.21,santa maria
433,perfumery,3647.7700000000004,juiz de fora
434,fashion_bags_accessories,3644.2300000000005,belo horizonte
435,auto,3641.7999999999997,porto alegre
436,small_appliances,3641.18,santos
437,home_construction,3640.2500000000005,rio de janeiro
438,computers,3639.99,curitiba
439,stationery,3631.570000000001,guarulhos
440,auto,3613.120000000001,belem
441,health_beauty,3611.0699999999997,nova friburgo
442,garden_tools,3609.540000000001,curitiba
443,pet_shop,3608.6800000000003,campinas
444,bed_bath_table,3600.7000000000007,carapicuiba
445,computers_accessories,3593.1600000000008,caxias do sul
446,perfumery,3588.5900000000006,goiania
447,computers_accessories,3576.2300000000005,petropolis
448,bed_bath_table,3558.890000000001,fortaleza
449,bed_bath_table,3558.08,londrina
450,bed_bath_table,3549.42,duque de caxias
451,watches_gifts,3547.4900000000007,campos dos goytacazes
452,computers_accessories,3547.1399999999994,maringa
453,computers_accessories,3532.28,eunapolis
454,computers,3526.99,guarulhos
455,bed_bath_table,3507.290000000001,rio claro
456,watches_gifts,3493.77,lucas do rio verde
457,housewares,3486.1700000000014,sorocaba
458,auto,3484.18,santos
459,musical_instruments,3483.7,florianopolis
460,watches_gifts,3479.97,olinda
461,garden_tools,3477.5700000000006,goiania
462,computers_accessories,3475.0299999999997,varginha
463,telephony,3455.679999999999,londrina
464,sports_leisure,3450.5200000000004,vitoria
465,perfumery,3440.1599999999994,sorocaba
466,garden_tools,3440.1000000000004,santos
467,bed_bath_table,3420.57,franca
468,sports_leisure,3419.01,santana de parnaiba
469,telephony,3418.8399999999992,campinas
470,toys,3418.4700000000003,osasco
471,housewares,3416.7500000000005,uberlandia
472,bed_bath_table,3391.2200000000003,volta redonda
473,housewares,3388.76,santos
474,watches_gifts,3382.78,barueri
475,bed_bath_table,3375.620000000001,cotia
476,garden_tools,3372.07,florianopolis
477,musical_instruments,3370.67,curitiba
478,home_confort,3355.6800000000003,rio de janeiro
479,cool_stuff,3339.68,novo hamburgo
480,housewares,3337.74,maringa
481,cool_stuff,3312.7799999999997,aracaju
482,auto,3307.9399999999996,maceio
483,baby,3303.68,joinville
484,housewares,3301.34,sao jose dos campos
485,pet_shop,3300.47,jundiai
486,fixed_telephony,3300.0,luis eduardo magalhaes
487,perfumery,3294.3,sao jose dos campos
488,cool_stuff,3291.8199999999997,osasco
489,auto,3282.3599999999997,maua
490,stationery,3267.000000000001,porto alegre
491,perfumery,3264.2800000000007,salvador
492,cool_stuff,3261.6300000000006,santos
493,bed_bath_table,3249.8900000000003,contagem
494,bed_bath_table,3235.000000000001,maringa
495,industry_commerce_and_business,3234.97,joao pessoa
496,health_beauty,3231.2699999999995,piracicaba
497,health_beauty,3229.44,mogi das cruzes
498,health_beauty,3228.0199999999995,sao jose do rio preto
499,sports_leisure,3224.3700000000003,nova iguacu
500,watches_gifts,3221.9400000000005,diadema
501,computers_accessories,3220.9500000000016,osasco
502,perfumery,3218.2800000000007,sao bernardo do campo
503,bed_bath_table,3215.3100000000004,campos dos goytacazes
504,bed_bath_table,3212.3800000000006,diadema
505,health_beauty,3209.2599999999998,guaruja
506,baby,3204.1700000000005,santos
507,musical_instruments,3202.96,porto alegre
508,watches_gifts,3196.9,uberlandia
509,toys,3188.810000000001,goiania
510,baby,3185.09,betim
511,cool_stuff,3180.92,cotia
512,construction_tools_construction,3177.63,santo andre
513,toys,3175.51,sao goncalo
514,watches_gifts,3171.7799999999997,rio das ostras
515,perfumery,3167.1600000000003,guarulhos
516,cool_stuff,3159.28,sao bernardo do campo
517,garden_tools,3154.9,gaspar
518,fashion_bags_accessories,3152.6800000000003,salvador
519,computers_accessories,3145.85,uberaba
520,sports_leisure,3141.76,joao pessoa
521,furniture_decor,3139.92,ribeirao preto
